Lat,Long,wards
42.35315925,-71.07604438,4
42.35334777,-71.07538171,4
42.35352052,-71.07477488,4
42.35355582,-71.07440373,4
42.35381056,-71.0736208,4
42.35391091,-71.07325501,4
42.35400015,-71.07292162,4
42.35414092,-71.07240382,4
42.35492689,-71.0786637,4
42.35482231,-71.07921633,4
42.35493621,-71.07788137,4
42.35482385,-71.07830037,4
42.35471154,-71.07871536,4
42.35440772,-71.07868287,4
42.35458708,-71.07832715,4
42.35468216,-71.07837408,4
42.35474357,-71.07815585,4
42.35464575,-71.07810741,4
42.35470548,-71.07788799,4
42.35480203,-71.07793581,4
42.35485938,-71.0777189,4
42.35476385,-71.07767368,4
42.35357199,-71.07965623,4
42.35342647,-71.07964141,4
42.35351302,-71.07931457,4
42.35366294,-71.07931637,4
42.35346497,-71.07919458,4
42.35422524,-71.07935465,4
42.35449952,-71.07948827,4
42.35450881,-71.07936018,4
42.35464461,-71.07970944,4
42.34600812,-71.07964527,3
42.34598177,-71.0795735,3
42.34591412,-71.07946908,3
42.34586572,-71.0794341,3
42.34580595,-71.07954674,3
42.34586242,-71.07971689,3
42.34575432,-71.07926476,3
42.34579403,-71.07961295,3
42.34565603,-71.07978038,3
42.34573365,-71.07912011,3
42.34578387,-71.07905503,3
42.3455624,-71.07933176,3
42.34549896,-71.07940696,3
42.34505684,-71.07971353,3
42.34488941,-71.07950821,3
42.34498277,-71.07980854,3
42.3448325,-71.07958548,3
42.3459445,-71.07975719,3
42.34567919,-71.07936021,3
42.34476148,-71.07950008,3
42.34485157,-71.07939202,3
42.34746121,-71.07903887,3
42.34730362,-71.07922974,3
42.34720151,-71.07935237,3
42.34711211,-71.07946305,3
42.34709155,-71.07978524,3
42.34658443,-71.07918898,3
42.34648891,-71.07896983,3
42.34639648,-71.07907065,3
42.34627518,-71.07921618,3
42.34605724,-71.07929259,3
42.34620162,-71.07911842,3
42.34636476,-71.07891891,3
42.34620778,-71.07845106,3
42.34639197,-71.07872762,3
42.34621774,-71.07867506,3
42.34601688,-71.07816525,3
42.34586435,-71.07811484,3
42.34595093,-71.07801088,3
42.34583262,-71.07899627,3
42.34680479,-71.0795192,3
42.34603215,-71.07839334,3
42.34612684,-71.07940016,3
42.34667839,-71.07933039,3
42.34606602,-71.07880411,3
42.34590892,-71.07891019,3
42.34796341,-71.07883512,3
42.34801771,-71.07856712,3
42.34815991,-71.07845333,3
42.34892797,-71.07740016,3
42.34900252,-71.07756821,3
42.34850351,-71.07817639,3
42.34808145,-71.0786431,3
42.34809528,-71.07872799,3
42.34787968,-71.07839758,3
42.34800514,-71.07806254,3
42.3481313,-71.07815778,3
42.34837139,-71.07807627,3
42.3486446,-71.07774433,3
42.34791531,-71.07784841,3
42.34802351,-71.07715199,3
42.34796724,-71.07736436,3
42.34902484,-71.07766549,3
42.34860636,-71.07898204,3
42.34867937,-71.07895987,3
42.34864227,-71.07917065,3
42.34886708,-71.07909412,3
42.34923168,-71.07927257,3
42.34965186,-71.07866605,3
42.34955284,-71.07903784,3
42.34972095,-71.07841251,3
42.34948508,-71.07929508,3
42.34961993,-71.07937837,4
42.34968932,-71.07911655,4
42.34975326,-71.07888133,4
42.34986515,-71.07846771,4
42.34966101,-71.0794959,4
42.34986858,-71.07959672,4
42.35017813,-71.07975124,4
42.35039727,-71.07976837,4
42.35044471,-71.07959793,4
42.35049345,-71.07940941,4
42.34954497,-71.07964261,4
